id,lon,lat,zona
1,-74.017342,40.708416,LManhattan
2,-74.015466,40.715832,LManhattan
3,-74.020457,40.688907,LManhattan
4,-74.012067,40.704149,LManhattan
5,-74.008087,40.705743,LManhattan
6,-74.010666,40.707825,LManhattan
7,-74.014119,40.708011,LManhattan
8,-74.012059,40.7117,LManhattan
9,-74.011858,40.715456,LManhattan
10,-74.009042,40.714089,LManhattan
11,-74.01051,40.72109,VManhattan
12,-74.007126,40.708525,LManhattan
13,-74.00473,40.709917,LManhattan
14,-73.99971,40.71578,VManhattan
15,-74.002464,40.712152,VManhattan
16,-74.005684,40.713952,VManhattan
17,-74.002595,40.717427,VManhattan
18,-74.007548,40.720613,VManhattan
19,-74.005598,40.7183,VManhattan
20,-73.997105,40.719569,VManhattan
21,-73.999694,40.72101,VManhattan
22,-74.003123,40.722825,VManhattan
23,-74.000785,40.725491,VManhattan
24,-73.995837,40.723712,VManhattan
25,-73.999838,40.730449,VManhattan
26,-73.997374,40.728137,VManhattan
27,-74.00582,40.726348,VManhattan
28,-74.009248,40.727219,VManhattan
29,-74.00443,40.730856,VManhattan
30,-74.008785,40.731302,VManhattan
31,-74.008017,40.747999,VManhattan
32,-73.99277,40.72988,VManhattan
33,-73.994266,40.726616,VManhattan
34,-73.994939,40.731732,VManhattan
35,-73.992727,40.734162,VManhattan
36,-73.997242,40.734903,VManhattan
37,-74.000291,40.73583,VManhattan
38,-74.004363,40.734518,VManhattan
39,-74.008364,40.734963,VManhattan
40,-74.003676,40.738417,VManhattan
41,-74.007982,40.739185,VManhattan
42,-73.998889,40.710833,VManhattan
43,-73.999384,40.712941,UManhattan
44,-73.99494,40.712364,UManhattan
45,-73.989418,40.712021,UManhattan
46,-73.986534,40.712998,UManhattan
47,-73.981912,40.712491,UManhattan
48,-73.993768,40.716317,UManhattan
49,-73.987719,40.715574,UManhattan
50,-73.976902,40.720974,UManhattan
51,-73.981717,40.721591,UManhattan
52,-73.980498,40.722965,UManhattan
53,-73.979173,40.724758,UManhattan
54,-73.991325,40.719422,UManhattan
55,-73.986412,40.717912,UManhattan
56,-73.978689,40.714956,UManhattan
57,-73.978142,40.717866,UManhattan
58,-73.982643,40.716313,UManhattan
59,-73.982427,40.719408,UManhattan
60,-73.974723,40.721699,UManhattan
61,-73.977374,40.727218,UManhattan
62,-73.98201,40.729297,UManhattan
63,-73.987376,40.721322,UManhattan
64,-73.991731,40.722477,UManhattan
65,-73.988966,40.727752,UManhattan
66,-73.990689,40.724963,UManhattan
67,-73.986576,40.731063,UManhattan
68,-73.989914,40.732168,UManhattan
69,-73.984272,40.725896,UManhattan
70,-73.986428,40.723239,UManhattan
71,-73.999308,40.740071,UManhattan
72,-73.997613,40.742388,UManhattan
73,-74.005067,40.742305,UManhattan
74,-74.003249,40.744682,UManhattan
75,-73.995764,40.744866,UManhattan
76,-74.001399,40.747189,UManhattan
77,-74.004435,40.752406,UManhattan
78,-73.999523,40.74971,UManhattan
79,-73.997705,40.752173,UManhattan
80,-73.995856,40.754628,MManhattan
81,-73.996651,40.763043,MManhattan
82,-73.993654,40.760227,MManhattan
83,-73.990803,40.759057,MManhattan
84,-73.991791,40.762748,MManhattan
85,-73.988951,40.761588,MManhattan
86,-73.98813,40.767752,MManhattan
87,-73.985305,40.76661,MManhattan
88,-73.98778,40.736388,UManhattan
89,-73.990956,40.737776,UManhattan
90,-73.984731,40.740656,UManhattan
91,-73.987896,40.741993,UManhattan
92,-73.991106,40.743343,UManhattan
93,-73.981451,40.745088,UManhattan
94,-73.984652,40.74637,UManhattan
95,-73.987846,40.747738,UManhattan
96,-73.992064,40.749852,UManhattan
97,-73.981437,40.750741,MManhattan
98,-73.984668,40.75207,MManhattan
99,-73.990252,40.75232,MManhattan
100,-73.988417,40.754804,MManhattan
101,-73.974235,40.753457,MManhattan
